Event	ID	Name			Wwise Object Path	Notes
	325099330	Play_AttackLight			\PlayerCombat\Melee\Play_AttackLight	
	635850072	Play_Execution_A			\PlayerCombat\Melee\Execution\Play_Execution_A	
	635850074	Play_Execution_C			\PlayerCombat\Melee\Execution\Play_Execution_C	
	635850075	Play_Execution_B			\PlayerCombat\Melee\Execution\Play_Execution_B	
	1237304139	Play_Exhausted			\PlayerCombat\Melee\GravitusMeleeVO\Play_Exhausted	
	1471594133	Play_SwingLight1			\PlayerCombat\Melee\SwingLight\Play_SwingLight1	
	1471594134	Play_SwingLight2			\PlayerCombat\Melee\SwingLight\Play_SwingLight2	
	1471594135	Play_SwingLight3			\PlayerCombat\Melee\SwingLight\Play_SwingLight3	
	2123312499	Play_HeavyGrunt			\PlayerCombat\Melee\GravitusMeleeVO\Play_HeavyGrunt	
	2391757467	Play_AttackHeavy			\PlayerCombat\Melee\Play_AttackHeavy	
	2807767344	Play_SwingLaunch3			\PlayerCombat\Melee\SwingLaunch\Play_SwingLaunch3	
	2807767345	Play_SwingLaunch2			\PlayerCombat\Melee\SwingLaunch\Play_SwingLaunch2	
	2807767346	Play_SwingLaunch1			\PlayerCombat\Melee\SwingLaunch\Play_SwingLaunch1	
	3039779601	Play_Injured			\PlayerCombat\Melee\GravitusMeleeVO\Play_Injured	
	3535846313	Play_HeavyGruntConfirm			\PlayerCombat\Melee\GravitusMeleeVO\Play_HeavyGruntConfirm	
	3825402580	Play_LightGrunt			\PlayerCombat\Melee\GravitusMeleeVO\Play_LightGrunt	
	4288382764	Play_LightGruntConfirm			\PlayerCombat\Melee\GravitusMeleeVO\Play_LightGruntConfirm	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	21593280	Light Grunt 8	E:\NovaStrike\NovaStrike-Capstone\NovaStrike-Capstone_WwiseProject\.cache\Windows\SFX\Light Grunt 8\-008_10C4C929.wem		\Actor-Mixer Hierarchy\EmberPoint - New Sounds\Gravitus\Gravitus VO\GravitusMeleeMixer\Light Grunt\Light Grunt 8		140332
	37034537	Light Grunt Confirm 2	E:\NovaStrike\NovaStrike-Capstone\NovaStrike-Capstone_WwiseProject\.cache\Windows\SFX\Light Grunt Confirm 2\-017_10C4C929.wem		\Actor-Mixer Hierarchy\EmberPoint - New Sounds\Gravitus\Gravitus VO\GravitusMeleeMixer\Light Grunt Confirm\Light Grunt Confirm 2		110808
	38871183	Light Attack 8	E:\NovaStrike\NovaStrike-Capstone\NovaStrike-Capstone_WwiseProject\.cache\Windows\SFX\-008_10C4C929.wem		\Actor-Mixer Hierarchy\EmberPoint - New Sounds\Gravitus Melee Attacks\MeleeMixer\MeleeAttacks\Light Attack\Light Attack 8		140332
	52109218	Light Grunt Confirm 3	E:\NovaStrike\NovaStrike-Capstone\NovaStrike-Capstone_WwiseProject\.cache\Windows\SFX\Light Grunt Confirm 3\-018_10C4C929.wem		\Actor-Mixer Hierarchy\EmberPoint - New Sounds\Gravitus\Gravitus VO\GravitusMeleeMixer\Light Grunt Confirm\Light Grunt Confirm 3		104536
	65876411	Injured 4	E:\NovaStrike\NovaStrike-Capstone\NovaStrike-Capstone_WwiseProject\.cache\Windows\SFX\Injured 4\-035_10C4C929.wem		\Actor-Mixer Hierarchy\EmberPoint - New Sounds\Gravitus\Gravitus VO\GravitusMeleeMixer\Injured\Injured 4		310816
	86567352	Light Grunt Confirm 4	E:\NovaStrike\NovaStrike-Capstone\NovaStrike-Capstone_WwiseProject\.cache\Windows\SFX\Light Grunt Confirm 4\-019_10C4C929.wem		\Actor-Mixer Hierarchy\EmberPoint - New Sounds\Gravitus\Gravitus VO\GravitusMeleeMixer\Light Grunt Confirm\Light Grunt Confirm 4		102448
	102227114	Exhaustion Loop	E:\NovaStrike\NovaStrike-Capstone\NovaStrike-Capstone_WwiseProject\.cache\Windows\SFX\Exhaustion Loop\-037_D79FB2B7.wem		\Actor-Mixer Hierarchy\EmberPoint - New Sounds\Gravitus\Gravitus VO\GravitusMeleeMixer\Exhaustion Loop		1224196
	115080787	Swing Light 2	E:\NovaStrike\NovaStrike-Capstone\NovaStrike-Capstone_WwiseProject\.cache\Windows\SFX\-016_10C4C929.wem		\Actor-Mixer Hierarchy\EmberPoint - New Sounds\Gravitus Melee Attacks\MeleeMixer\MeleeSwings\Swing Light\Swing Light 2		182048
	126243041	Heavy Attack 1	E:\NovaStrike\NovaStrike-Capstone\NovaStrike-Capstone_WwiseProject\.cache\Windows\SFX\-009_10C4C929.wem		\Actor-Mixer Hierarchy\EmberPoint - New Sounds\Gravitus Melee Attacks\MeleeMixer\MeleeAttacks\Heavy Attack\Heavy Attack 1		380864
	148253273	Heavy Grunt Confirm 2	E:\NovaStrike\NovaStrike-Capstone\NovaStrike-Capstone_WwiseProject\.cache\Windows\SFX\Heavy Grunt Confirm 2\-029_10C4C929.wem		\Actor-Mixer Hierarchy\EmberPoint - New Sounds\Gravitus\Gravitus VO\GravitusMeleeMixer\Heavy Grunt Confirm\Heavy Grunt Confirm 2		309472
	157358296	Heavy Grunt 2	E:\NovaStrike\NovaStrike-Capstone\NovaStrike-Capstone_WwiseProject\.cache\Windows\SFX\Heavy Grunt 2\-010_10C4C929.wem		\Actor-Mixer Hierarchy\EmberPoint - New Sounds\Gravitus\Gravitus VO\GravitusMeleeMixer\Heavy Grunt\Heavy Grunt 2		382828
	180121162	Heavy Grunt 5	E:\NovaStrike\NovaStrike-Capstone\NovaStrike-Capstone_WwiseProject\.cache\Windows\SFX\Heavy Grunt 5\-013_10C4C929.wem		\Actor-Mixer Hierarchy\EmberPoint - New Sounds\Gravitus\Gravitus VO\GravitusMeleeMixer\Heavy Grunt\Heavy Grunt 5		188260
	289445165	Light Grunt 7	E:\NovaStrike\NovaStrike-Capstone\NovaStrike-Capstone_WwiseProject\.cache\Windows\SFX\Light Grunt 7\-007_10C4C929.wem		\Actor-Mixer Hierarchy\EmberPoint - New Sounds\Gravitus\Gravitus VO\GravitusMeleeMixer\Light Grunt\Light Grunt 7		187896
	294302560	Light Grunt 5	E:\NovaStrike\NovaStrike-Capstone\NovaStrike-Capstone_WwiseProject\.cache\Windows\SFX\Light Grunt 5\-005_10C4C929.wem		\Actor-Mixer Hierarchy\EmberPoint - New Sounds\Gravitus\Gravitus VO\GravitusMeleeMixer\Light Grunt\Light Grunt 5		191776
	296878417	Heavy Attack 2	E:\NovaStrike\NovaStrike-Capstone\NovaStrike-Capstone_WwiseProject\.cache\Windows\SFX\-010_10C4C929.wem		\Actor-Mixer Hierarchy\EmberPoint - New Sounds\Gravitus Melee Attacks\MeleeMixer\MeleeAttacks\Heavy Attack\Heavy Attack 2		382828
